id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,,Todos,0.31,0.43,0.19,0.07,720.13,685.1,773.9,,
0,Lectura,3,País,,Todos,0.42,0.2,0.25,0.13,699.02,659.96,750.72,,
0,Lectura,6,País,,Todos,0.26,0.48,0.14,0.12,684.26,637.34,741.83,,
0,Matemáticas,3,País,,Todos,0.43,0.26,0.23,0.08,709.23,694.42,742.35,,
0,Matemáticas,6,País,,Todos,0.38,0.39,0.17,0.06,719.81,686.48,769.84,,
2.1,Ciencias,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.46,0.39,0.12,0.03,685.11,,,,
2.1,Ciencias,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 5,0.12,0.4,0.32,0.16,774.04,,,,
2.1,Lectura,3,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.59,0.18,0.17,0.06,659.95,,,,
2.1,Lectura,3,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 5,0.22,0.18,0.34,0.27,751.13,,,,
2.1,Lectura,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.41,0.49,0.07,0.03,637.23,,,,
2.1,Lectura,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 5,0.11,0.41,0.21,0.27,742.03,,,,
2.1,Matemáticas,3,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.53,0.23,0.16,0.09,694.44,,,,
