id,materia,grado,tema,tema_descripcion,parametro,porcentaje_nivel_1,porcentaje_nivel_2,porcentaje_nivel_3,porcentaje_nivel_4,puntaje_promedio,quintil_i_puntaje,quintil_v_puntaje,nota_tooltip,nota_grafico
0,Ciencias,6,País,,Todos,0.49,0.39,0.09,0.03,674.03,652.95,707.24,,
0,Lectura,3,País,,Todos,0.53,0.19,0.19,0.09,674.55,655.47,711.08,,
0,Lectura,6,País,,Todos,0.31,0.53,0.1,0.06,661.3,630.5,712.04,,
0,Matemáticas,3,País,,Todos,0.47,0.25,0.2,0.08,701.97,707.42,713.09,,
0,Matemáticas,6,País,,Todos,0.55,0.34,0.09,0.02,682.41,670.78,709.17,,
2.1,Ciencias,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.6,0.3,0.08,0.02,652.95,,,,
2.1,Ciencias,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 5,0.33,0.48,0.15,0.04,707.13,,,,
2.1,Lectura,3,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.63,0.16,0.13,0.08,655.47,,,,
2.1,Lectura,3,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 5,0.36,0.2,0.29,0.15,711.08,,,,
2.1,Lectura,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.43,0.47,0.06,0.03,630.5,,,,
2.1,Lectura,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 5,0.14,0.53,0.18,0.14,711.88,,,,
2.1,Matemáticas,3,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.48,0.21,0.19,0.13,,,,,
2.1,Matemáticas,3,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 5,0.38,0.29,0.28,0.06,,,,,
2.1,Matemáticas,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 1,0.6,0.29,0.09,0.02,670.78,,,,
2.1,Matemáticas,6,Familia: Nivel socioeconómico,"Índice de medición del nivel socioeconómico y cultural de los estudiantes. Es una variable compuesta que incluye antecedentes educativos, económicos y laborales de los padres, además de posesiones, libros y características de la construcción de la vivienda. Se compara el Quintil I (20% NSE más bajo) con el Quintil V (20% NSE más alto).",Quintil 5,0.4,0.44,0.13,0.03,709.08,,,,
2.2,Ciencias,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba ERCE en 2019. Elaborado a partir de los cuestionarios de factores asociados de familia ERCE 2019.",No,0.51,0.38,0.08,0.03,,,,,
2.2,Ciencias,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba ERCE en 2019. Elaborado a partir de los cuestionarios de factores asociados de familia ERCE 2019.",Sí,0.48,0.4,0.1,0.03,,,,,
2.2,Lectura,3,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba ERCE en 2019. Elaborado a partir de los cuestionarios de factores asociados de familia ERCE 2019.",No,0.49,0.22,0.2,0.09,,,,,
2.2,Lectura,3,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba ERCE en 2019. Elaborado a partir de los cuestionarios de factores asociados de familia ERCE 2019.",Sí,0.5,0.19,0.21,0.1,,,,,
2.2,Lectura,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba ERCE en 2019. Elaborado a partir de los cuestionarios de factores asociados de familia ERCE 2019.",No,0.31,0.58,0.07,0.04,,,,,
2.2,Lectura,6,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba ERCE en 2019. Elaborado a partir de los cuestionarios de factores asociados de familia ERCE 2019.",Sí,0.28,0.53,0.11,0.07,,,,,
2.2,Matemáticas,3,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba ERCE en 2019. Elaborado a partir de los cuestionarios de factores asociados de familia ERCE 2019.",No,0.5,0.25,0.2,0.05,693.58,,,,
2.2,Matemáticas,3,Asistencia en educación inicial entre los 4 y 6 años,"Indicador de asistencia regular del estudiante, durante al menos un año a educación formal inicial al momento de rendir la prueba ERCE en 2019. Elaborado a partir de los cuestionarios de factores asociados de familia ERCE 2019.",Sí,0.41,0.27,0.23,0.1,713.85,,,,
