pais,tema,tema_descripcion,materia,grado,parametro,porcentaje
ar,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.00
br,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.00
co,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.01
cr,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.15
cu,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.03
do,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.01
ec,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.00
gt,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.01
hn,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.06
mx,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.02
ni,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.10
pa,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.04
pe,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.02
py,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.33
sv,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.01
uy,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación primaria / Educación secundaria baja,0.00
ar,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación secundaria alta,0.00
br,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación secundaria alta,0.02
co,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación secundaria alta,0.00
cr,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación secundaria alta,0.00
cu,Nivel educacional del docente,Porcentaje del nivel educacional más alto alcanzado por el docente por asignatura.,Ciencias,6,Educación secundaria alta,0.02
